Milliseconds;AltitudeALm;AltitudeSLm;PressurehPa;Temperature;verticalspeedms;EnginelevelOut1024;batteryV;batteryA;controllerTemp;motorTemp;batteryTemp
1031361;0.70;6.60;1022.70;23.54;0.40;234;61.50;0.00;11;75;16
1031611;1.00;6.90;1022.67;23.54;1.60;227;61.50;0.00;12;75;16
1031861;1.20;7.10;1022.64;23.54;1.60;227;61.20;10.20;12;75;16
1032112;1.40;7.30;1022.62;23.54;0.80;227;61.20;10.50;12;75;16
1032361;1.50;7.40;1022.61;23.54;0.80;228;61.20;10.50;12;75;16
1032611;1.50;7.40;1022.61;23.54;0.80;226;61.20;10.50;13;75;16
1032861;1.50;7.40;1022.60;23.54;0.20;229;61.20;10.50;13;75;16
1033109;1.60;7.50;1022.59;23.54;0.20;227;61.10;10.80;13;75;16
1033359;1.70;7.60;1022.58;23.54;0.40;227;61.10;10.80;13;75;16
1033608;1.70;7.60;1022.58;23.54;0.40;228;61.10;10.80;13;75;16
1033860;1.80;7.70;1022.57;23.54;0.20;231;61.10;10.80;13;75;16
1034109;1.80;7.70;1022.57;23.54;0.20;273;61.10;10.80;13;75;16
1034359;1.80;7.70;1022.56;23.54;0.20;359;61.10;10.80;13;75;16
1034601;2.10;8.00;1022.54;23.54;0.60;412;61.10;10.80;13;75;16
1034851;2.60;8.50;1022.47;23.54;0.60;458;61.10;10.80;13;75;16
1035101;3.30;9.20;1022.39;23.54;2.40;452;60.20;46.40;13;75;16
1035351;3.80;9.70;1022.33;23.54;2.40;237;60.30;43.10;13;75;16
1035611;3.80;9.70;1022.32;23.54;1.00;0;60.30;43.10;13;75;16
1035862;3.50;9.40;1022.36;23.54;1.00;0;60.30;43.10;14;75;16
1036111;3.10;9.00;1022.41;23.54;1.00;0;61.50;0.00;14;75;16
1036361;2.40;8.30;1022.49;23.54;-2.80;0;61.50;0.00;14;75;16
1036601;2.00;7.90;1022.54;23.54;-2.80;175;61.50;0.00;14;75;16
1036851;1.60;7.50;1022.60;23.54;-1.60;271;61.50;0.00;14;75;16
1037099;1.40;7.30;1022.62;23.54;-1.60;364;61.50;0.00;14;75;16
1037352;1.70;7.60;1022.58;23.54;0.20;526;60.60;39.80;14;75;16
1037601;2.50;8.40;1022.49;23.54;0.20;462;60.60;39.80;14;75;16
1037851;3.20;9.10;1022.40;23.54;0.20;409;60.60;39.80;14;75;16
1038101;3.50;9.40;1022.36;23.54;3.60;421;60.60;39.80;14;75;16
1038350;3.60;9.50;1022.35;23.54;3.60;438;61.30;35.50;14;75;16
1038604;3.60;9.50;1022.35;23.54;0.20;417;61.10;43.40;14;75;16
1038854;3.80;9.70;1022.32;23.54;0.20;419;61.10;43.40;14;75;16
1039100;3.90;9.80;1022.32;23.54;0.60;379;61.10;43.40;16;75;16
1039352;3.80;9.70;1022.32;23.54;0.60;378;61.20;30.90;16;75;16
1039605;3.70;9.60;1022.33;23.54;-0.40;311;61.30;27.00;16;75;16
1039854;3.50;9.40;1022.36;23.54;-0.40;323;61.30;27.00;16;75;16
1040102;3.20;9.10;1022.39;23.54;-1.00;345;61.30;27.00;16;75;16
1040352;3.10;9.00;1022.41;23.54;-1.00;337;61.30;27.00;16;75;16
1040605;3.00;8.90;1022.42;23.54;-0.40;337;61.30;21.40;16;75;16
1040855;2.90;8.80;1022.44;23.54;-0.40;337;61.30;21.40;16;75;16
1041105;2.90;8.80;1022.44;23.54;-0.20;337;61.30;21.40;16;75;16
1041355;2.90;8.80;1022.43;23.54;-0.20;336;61.30;21.40;16;75;16
1041605;2.90;8.80;1022.44;23.54;-0.20;337;61.30;22.70;16;75;16
1041855;3.00;8.90;1022.43;23.54;0.20;337;61.40;22.00;16;75;16
1042105;3.00;8.90;1022.42;23.54;0.20;337;61.40;22.00;16;75;16
1042355;3.00;8.90;1022.42;23.54;0.00;336;61.40;22.00;16;75;16
1042605;3.10;9.00;1022.41;23.54;0.00;337;61.30;23.30;16;75;16
1042855;3.00;8.90;1022.42;23.54;0.00;338;61.30;23.00;16;75;16
1043105;3.00;8.90;1022.42;23.54;0.00;337;61.30;23.00;16;75;16
1043355;3.00;8.90;1022.41;23.54;0.00;337;61.30;23.00;16;75;16
1043605;3.00;8.90;1022.42;23.54;0.00;337;61.30;23.00;17;75;16
1043855;2.90;8.80;1022.43;23.54;0.00;374;61.30;22.00;17;75;16
1044105;2.90;8.80;1022.43;23.54;-0.20;415;61.30;22.00;17;75;16
1044355;3.10;9.00;1022.41;23.54;-0.20;513;61.30;22.00;17;75;16
1044605;3.60;9.50;1022.36;23.54;1.40;625;61.30;22.00;17;75;16
1044856;4.50;10.40;1022.24;23.54;1.40;679;61.20;79.00;17;75;16
1045105;5.70;11.60;1022.10;23.54;1.40;769;61.50;135.70;17;75;16
1045355;6.80;12.70;1021.99;23.54;6.40;766;61.50;135.70;17;75;16
1045605;7.60;13.50;1021.86;23.53;6.40;755;61.50;135.70;17;75;16
1045855;8.30;14.20;1021.78;23.53;3.00;794;61.30;145.90;17;75;16
1046105;8.80;14.70;1021.72;23.53;3.00;794;61.60;172.60;17;75;16
1046355;9.20;15.10;1021.66;23.52;1.80;795;61.60;172.60;17;75;16
1046614;9.80;15.70;1021.60;23.52;1.80;807;61.60;172.60;17;75;16
1046863;10.00;15.90;1021.57;23.52;1.80;848;61.60;172.60;22;75;16
1047117;10.40;16.30;1021.53;23.52;2.40;844;60.90;187.40;22;75;16
1047367;10.80;16.70;1021.47;23.52;2.40;836;60.90;187.40;22;75;16
1047617;11.30;17.20;1021.41;23.51;1.80;937;60.90;187.40;22;75;16
1047867;12.00;17.90;1021.33;23.51;1.80;1024;60.90;187.40;25;75;16
1048114;13.50;19.40;1021.15;23.51;4.40;999;61.60;257.00;25;75;16
1048363;14.70;20.60;1021.01;23.50;4.40;980;61.40;275.40;25;75;16
1048612;15.10;21.00;1020.96;23.49;4.40;968;61.40;275.40;25;75;16
1048862;15.20;21.10;1020.94;23.49;3.40;947;61.40;275.40;25;75;16
1049113;15.10;21.00;1020.95;23.49;3.40;676;61.60;261.60;25;75;16
1049366;14.20;20.10;1021.06;23.48;-2.00;567;59.80;39.80;25;75;16
1049616;12.40;18.30;1021.28;23.48;-2.00;801;59.80;39.80;25;75;16
1049867;11.00;16.90;1021.45;23.48;-6.40;910;59.80;39.80;25;75;16
1050117;10.90;16.80;1021.46;23.48;-6.40;806;59.80;39.80;34;75;16
1050366;11.50;17.40;1021.39;23.49;-6.40;794;60.60;181.80;34;75;16
1050855;12.50;18.40;1021.27;23.49;1.80;778;61.20;170.00;34;75;16
1051105;13.20;19.10;1021.19;23.48;2.60;781;61.20;170.00;34;75;16
1051355;13.70;19.60;1021.12;23.48;2.60;779;60.60;163.30;34;75;16
1051604;13.90;19.80;1021.10;23.48;1.40;780;61.10;161.70;34;75;16
1051856;13.70;19.60;1021.12;23.47;1.40;779;61.10;161.70;34;75;16
1052106;13.60;19.50;1021.14;23.46;-0.60;779;61.10;161.70;34;75;16
1052356;13.60;19.50;1021.13;23.46;-0.60;778;61.10;161.70;36;75;16
1052606;13.80;19.70;1021.12;23.46;0.40;776;61.10;160.40;36;75;16
1052856;13.80;19.70;1021.11;23.46;0.40;779;61.10;160.40;36;75;16
1053106;14.40;20.30;1021.04;23.46;1.20;779;61.10;160.40;36;75;16
1053357;14.80;20.70;1021.00;23.46;1.20;779;61.10;160.40;36;74;16
1053607;14.80;20.70;1020.99;23.46;0.80;778;60.70;160.70;36;74;16
1053857;15.00;20.90;1020.97;23.46;0.80;779;61.10;158.20;36;74;16
1054106;15.10;21.00;1020.96;23.46;0.80;779;61.10;158.20;36;74;16
1054357;15.40;21.30;1020.91;23.46;1.20;779;61.10;158.20;37;74;16
1054603;15.90;21.80;1020.85;23.46;1.20;786;61.00;160.40;37;74;16
1054855;16.30;22.20;1020.81;23.46;1.80;778;61.00;169.20;37;74;16
1055105;16.60;22.50;1020.78;23.46;1.80;778;61.00;169.20;37;74;16
1055356;16.40;22.30;1020.80;23.46;0.20;778;61.00;169.20;37;74;16
1055606;16.20;22.10;1020.82;23.46;0.20;778;61.00;169.20;38;74;16
1055856;16.50;22.40;1020.78;23.45;0.20;778;60.70;163.00;38;74;16
1056103;17.00;22.90;1020.73;23.45;1.20;778;60.70;163.00;38;74;16
1056352;17.20;23.10;1020.70;23.45;1.20;778;60.70;163.00;38;74;16
1056606;17.10;23.00;1020.72;23.45;0.20;758;60.70;163.00;39;74;16
1056856;16.70;22.60;1020.76;23.44;0.20;754;60.30;142.40;39;74;16
1057104;16.70;22.60;1020.76;23.44;-0.80;754;61.00;148.90;39;74;16
1057354;16.60;22.50;1020.78;23.44;-0.80;754;61.00;148.90;39;74;16
1057603;17.00;22.90;1020.72;23.44;-0.80;754;61.00;148.90;39;74;16
1057855;17.60;23.50;1020.65;23.44;1.80;755;60.60;147.40;39;74;16
1058105;18.10;24.00;1020.59;23.43;1.80;750;60.60;148.00;39;74;16
1058352;18.30;24.20;1020.57;23.43;1.40;753;60.60;148.00;39;74;16
1058606;18.00;23.90;1020.60;23.43;1.40;753;60.60;148.00;39;74;16
1058856;17.80;23.70;1020.63;23.42;-1.00;747;60.60;148.00;40;74;16
1059107;18.00;23.90;1020.61;23.42;-1.00;748;60.60;143.60;40;74;16
1059356;18.30;24.20;1020.57;23.42;-1.00;749;60.60;143.60;40;74;16
1059606;18.60;24.50;1020.53;23.42;1.60;749;60.60;143.60;40;74;16
1059856;19.00;24.90;1020.48;23.42;1.60;749;60.60;143.60;40;74;16
